image_size_mb,strategy,policy,num_sats,total_in_view,connected_when_in_view,missed_when_in_view,connection_efficiency,missed_opportunity_rate
2.799,close-orbit-spaced,sticky,100,55067,2473,52594,4.490892912270507,95.50910708772949
2.799,close-orbit-spaced,fifo,100,55069,2473,52596,4.490729811690787,95.50927018830922
2.799,close-orbit-spaced,roundrobin,100,55069,2473,52596,4.490729811690787,95.50927018830922
2.799,close-orbit-spaced,random,100,55067,2473,52594,4.490892912270507,95.50910708772949
2.799,close-orbit-spaced,sticky,200,108771,2479,106292,2.279100127791415,97.72089987220859
2.799,close-orbit-spaced,fifo,200,108773,2479,106294,2.2790582221691045,97.72094177783089
2.799,close-orbit-spaced,roundrobin,200,108773,2479,106294,2.2790582221691045,97.72094177783089
2.799,close-orbit-spaced,random,200,108771,2479,106292,2.279100127791415,97.72089987220859
2.799,close-spaced,sticky,1,1673,1673,0,100.0,0.0
2.799,close-spaced,fifo,1,1673,1331,342,79.55768081291093,20.442319187089062
2.799,close-spaced,roundrobin,1,1673,1673,0,100.0,0.0
2.799,close-spaced,random,1,1673,1331,342,79.55768081291093,20.442319187089062
2.799,close-spaced,sticky,50,29142,1677,27465,5.7545810170887375,94.24541898291126
2.799,close-spaced,fifo,50,29156,1677,27479,5.751817807655371,94.24818219234463
2.799,close-spaced,roundrobin,50,29156,1677,27479,5.751817807655371,94.24818219234463
2.799,close-spaced,random,50,29154,1677,27477,5.752212389380531,94.24778761061947
2.799,close-spaced,sticky,100,57172,1677,55495,2.933254040439376,97.06674595956062
2.799,close-spaced,fifo,100,57186,1677,55509,2.9325359353687968,97.06746406463121
2.799,close-spaced,roundrobin,100,57186,1677,55509,2.9325359353687968,97.06746406463121
2.799,close-spaced,random,100,57181,1677,55504,2.9327923610989663,97.06720763890104
2.799,close-spaced,sticky,200,113228,1677,111551,1.4810824177765218,98.51891758222348
2.799,close-spaced,fifo,200,113239,1677,111562,1.4809385459073288,98.51906145409266
2.799,close-spaced,roundrobin,200,113239,1677,111562,1.4809385459073288,98.51906145409266
2.799,close-spaced,random,200,113239,1677,111562,1.4809385459073288,98.51906145409266
2.799,frame-spaced,sticky,1,1673,1673,0,100.0,0.0
2.799,frame-spaced,fifo,1,1673,1331,342,79.55768081291093,20.442319187089062
2.799,frame-spaced,roundrobin,1,1673,1673,0,100.0,0.0
2.799,frame-spaced,random,1,1673,1331,342,79.55768081291093,20.442319187089062
2.799,frame-spaced,sticky,50,29303,1955,27348,6.671671842473467,93.32832815752653
2.799,frame-spaced,fifo,50,29318,1955,27363,6.66825840780408,93.33174159219591
2.799,frame-spaced,roundrobin,50,29318,1955,27363,6.66825840780408,93.33174159219591
2.799,frame-spaced,random,50,29322,1955,27367,6.667348748380056,93.33265125161995
2.799,frame-spaced,sticky,100,57502,2243,55259,3.9007338875169557,96.09926611248304
2.799,frame-spaced,fifo,100,57527,2243,55284,3.8990387122568535,96.10096128774315
2.799,frame-spaced,roundrobin,100,57527,2243,55284,3.8990387122568535,96.10096128774315
2.799,frame-spaced,random,100,57523,2243,55280,3.8993098412808793,96.10069015871913
2.799,frame-spaced,sticky,200,112575,2714,109861,2.410837219631357,97.58916278036864
2.799,frame-spaced,fifo,200,112613,2714,109899,2.4100237095184394,97.58997629048156
2.799,frame-spaced,roundrobin,200,112614,2717,109897,2.41266627595148,97.58733372404852
2.799,frame-spaced,random,200,112612,2714,109898,2.410045110645402,97.5899548893546
2.799,orbit-spaced,sticky,1,1673,1673,0,100.0,0.0
2.799,orbit-spaced,fifo,1,1673,1331,342,79.55768081291093,20.442319187089062
2.799,orbit-spaced,roundrobin,1,1673,1673,0,100.0,0.0
2.799,orbit-spaced,random,1,1673,1331,342,79.55768081291093,20.442319187089062
2.799,orbit-spaced,sticky,50,41489,21597,19892,52.054761503048994,47.945238496951
2.799,orbit-spaced,fifo,50,41722,21597,20125,51.76405733186329,48.235942668136715
2.799,orbit-spaced,roundrobin,50,41492,21582,19910,52.01484623541888,47.98515376458112
2.799,orbit-spaced,random,50,41715,21597,20118,51.77274361740382,48.22725638259619
2.799,orbit-spaced,sticky,100,68572,21597,46975,31.49536253864551,68.50463746135449
2.799,orbit-spaced,fifo,100,68693,21597,47096,31.439884704409476,68.56011529559053
2.799,orbit-spaced,roundrobin,100,68595,21600,46995,31.489175595888913,68.51082440411108
2.799,orbit-spaced,random,100,68689,21597,47092,31.441715558531936,68.55828444146806
2.799,orbit-spaced,sticky,200,122743,21597,101146,17.59530075034829,82.40469924965171
2.799,orbit-spaced,fifo,200,122802,21597,101205,17.586847119753752,82.41315288024626
2.799,orbit-spaced,roundrobin,200,122768,21600,101168,17.594161344975888,82.40583865502411
2.799,orbit-spaced,random,200,122807,21597,101210,17.58613108373301,82.41386891626699
28.0,close-orbit-spaced,sticky,1,1673,1673,0,100.0,0.0
28.0,close-orbit-spaced,fifo,1,1673,1673,0,100.0,0.0
28.0,close-orbit-spaced,roundrobin,1,1673,1673,0,100.0,0.0
28.0,close-orbit-spaced,random,1,1673,1673,0,100.0,0.0
28.0,close-orbit-spaced,sticky,50,28196,2460,25736,8.724641793162151,91.27535820683785
28.0,close-orbit-spaced,fifo,50,28196,2460,25736,8.724641793162151,91.27535820683785
28.0,close-orbit-spaced,roundrobin,50,28196,2460,25736,8.724641793162151,91.27535820683785
28.0,close-orbit-spaced,random,50,28196,2460,25736,8.724641793162151,91.27535820683785
28.0,close-orbit-spaced,sticky,100,55067,2473,52594,4.490892912270507,95.50910708772949
28.0,close-orbit-spaced,fifo,100,55067,2473,52594,4.490892912270507,95.50910708772949
28.0,close-orbit-spaced,roundrobin,100,55067,2473,52594,4.490892912270507,95.50910708772949
28.0,close-orbit-spaced,random,100,55067,2473,52594,4.490892912270507,95.50910708772949
28.0,close-orbit-spaced,sticky,200,108771,2479,106292,2.279100127791415,97.72089987220859
28.0,close-orbit-spaced,fifo,200,108771,2479,106292,2.279100127791415,97.72089987220859
28.0,close-orbit-spaced,roundrobin,200,108771,2479,106292,2.279100127791415,97.72089987220859
28.0,close-orbit-spaced,random,200,108771,2479,106292,2.279100127791415,97.72089987220859
28.0,close-spaced,sticky,1,1673,1673,0,100.0,0.0
28.0,close-spaced,fifo,1,1673,1673,0,100.0,0.0
