image_size_mb,strategy,policy,num_sats,sim_duration,productive_time,total_idle_time,total_idle_pct,total_connected_events,connected_idle_events,connected_idle_pct
2.799,close-orbit-spaced,roundrobin,200,21600,21365,235,1.087962962962963,21600,235,1.087962962962963
2.799,close-orbit-spaced,random,200,21600,21456,144,0.6666666666666667,21597,141,0.6528684539519378
2.799,close-spaced,sticky,1,21600,1156,20444,94.64814814814815,1673,517,30.90257023311417
2.799,close-spaced,fifo,1,21600,1156,20444,94.64814814814815,1331,175,13.148009015777612
2.799,close-spaced,roundrobin,1,21600,1156,20444,94.64814814814815,1673,517,30.90257023311417
2.799,close-spaced,random,1,21600,1156,20444,94.64814814814815,1331,175,13.148009015777612
2.799,close-spaced,sticky,25,21600,1266,20334,94.1388888888889,1677,411,24.508050089445437
2.799,close-spaced,fifo,25,21600,1651,19949,92.35648148148148,1677,26,1.550387596899225
2.799,close-spaced,roundrobin,25,21600,1651,19949,92.35648148148148,1677,26,1.550387596899225
2.799,close-spaced,random,25,21600,1651,19949,92.35648148148148,1677,26,1.550387596899225
2.799,close-spaced,sticky,50,21600,1266,20334,94.1388888888889,1677,411,24.508050089445437
2.799,close-spaced,fifo,50,21600,1651,19949,92.35648148148148,1677,26,1.550387596899225
2.799,close-spaced,roundrobin,50,21600,1651,19949,92.35648148148148,1677,26,1.550387596899225
2.799,close-spaced,random,50,21600,1653,19947,92.34722222222223,1677,24,1.4311270125223614
2.799,close-spaced,sticky,100,21600,1266,20334,94.1388888888889,1677,411,24.508050089445437
2.799,close-spaced,fifo,100,21600,1651,19949,92.35648148148148,1677,26,1.550387596899225
2.799,close-spaced,roundrobin,100,21600,1651,19949,92.35648148148148,1677,26,1.550387596899225
2.799,close-spaced,random,100,21600,1655,19945,92.33796296296296,1677,22,1.311866428145498
2.799,close-spaced,sticky,200,21600,1266,20334,94.1388888888889,1677,411,24.508050089445437
2.799,close-spaced,fifo,200,21600,1652,19948,92.35185185185185,1677,25,1.4907573047107932
2.799,close-spaced,roundrobin,200,21600,1652,19948,92.35185185185185,1677,25,1.4907573047107932
2.799,close-spaced,random,200,21600,1655,19945,92.33796296296296,1677,22,1.311866428145498
2.799,frame-spaced,sticky,1,21600,1156,20444,94.64814814814815,1673,517,30.90257023311417
2.799,frame-spaced,fifo,1,21600,1156,20444,94.64814814814815,1331,175,13.148009015777612
2.799,frame-spaced,roundrobin,1,21600,1156,20444,94.64814814814815,1673,517,30.90257023311417
2.799,frame-spaced,random,1,21600,1156,20444,94.64814814814815,1331,175,13.148009015777612
2.799,frame-spaced,sticky,25,21600,1292,20308,94.01851851851852,1811,519,28.65819988956378
2.799,frame-spaced,fifo,25,21600,1780,19820,91.75925925925927,1811,31,1.7117614577581448
2.799,frame-spaced,roundrobin,25,21600,1780,19820,91.75925925925927,1811,31,1.7117614577581448
2.799,frame-spaced,random,25,21600,1779,19821,91.76388888888889,1811,32,1.7669795692987302
2.799,frame-spaced,sticky,50,21600,1433,20167,93.36574074074075,1955,522,26.70076726342711
2.799,frame-spaced,fifo,50,21600,1921,19679,91.10648148148148,1955,34,1.7391304347826086
2.799,frame-spaced,roundrobin,50,21600,1921,19679,91.10648148148148,1955,34,1.7391304347826086
2.799,frame-spaced,random,50,21600,1916,19684,91.12962962962963,1955,39,1.9948849104859334
2.799,frame-spaced,sticky,100,21600,1716,19884,92.05555555555556,2243,527,23.49531876950513
2.799,frame-spaced,fifo,100,21600,2192,19408,89.85185185185185,2243,51,2.2737405260811414
2.799,frame-spaced,roundrobin,100,21600,2192,19408,89.85185185185185,2243,51,2.2737405260811414
2.799,frame-spaced,random,100,21600,2197,19403,89.82870370370371,2243,46,2.0508247882300488
2.799,frame-spaced,sticky,200,21600,2290,19310,89.39814814814815,2714,424,15.622697126013266
2.799,frame-spaced,fifo,200,21600,2641,18959,87.77314814814815,2714,73,2.6897568165070007
2.799,frame-spaced,roundrobin,200,21600,2634,18966,87.80555555555556,2717,83,3.05483989694516
