image_size_mb,policy,num_sats,orbital_spacing_deg,data_downloaded_gb
2.799,sticky,200,1.8,282.05546737109375
2.799,fifo,200,1.8,257.8111235126953
2.799,roundrobin,200,1.8,255.8604710546875
2.799,random,200,1.8,299.2564279970703
28.0,sticky,1,360.0,22.942237357421874
28.0,fifo,1,360.0,22.942237357421874
28.0,roundrobin,1,360.0,22.942237357421874
28.0,random,1,360.0,22.942237357421874
28.0,sticky,10,36.0,222.61982541210938
28.0,fifo,10,36.0,222.61982541210938
28.0,roundrobin,10,36.0,222.61982541210938
28.0,random,10,36.0,222.61982541210938
28.0,sticky,15,24.0,302.3040626757812
28.0,fifo,15,24.0,302.3040626757812
28.0,roundrobin,15,24.0,302.3040626757812
28.0,random,15,24.0,302.3040626757812
28.0,sticky,17,21.176470588235293,305.1166088359375
28.0,fifo,17,21.176470588235293,305.1166088359375
28.0,roundrobin,17,21.176470588235293,305.1166088359375
28.0,random,17,21.176470588235293,305.1166088359375
28.0,sticky,18,20.0,305.89013841406245
28.0,fifo,18,20.0,305.89013841406245
28.0,roundrobin,18,20.0,305.89013841406245
28.0,random,18,20.0,305.89013841406245
28.0,sticky,19,18.94736842105263,306.12709356542973
28.0,fifo,19,18.94736842105263,306.39907709667966
28.0,roundrobin,19,18.94736842105263,304.65008509570316
28.0,random,19,18.94736842105263,306.39907709667966
28.0,sticky,20,18.0,305.9547124482422
28.0,fifo,20,18.0,306.3170881494141
28.0,roundrobin,20,18.0,304.56809614843746
28.0,random,20,18.0,306.3170881494141
28.0,sticky,25,14.4,300.5537829257812
28.0,fifo,25,14.4,300.57056574609373
28.0,roundrobin,25,14.4,299.9758200185547
28.0,random,25,14.4,300.5526392324218
28.0,sticky,50,7.2,282.191070421875
28.0,fifo,50,7.2,274.7991940039062
28.0,roundrobin,50,7.2,275.2738180673828
28.0,random,50,7.2,298.612447397461
28.0,sticky,100,3.6,272.3348817099609
28.0,fifo,100,3.6,262.14594205273437
28.0,roundrobin,100,3.6,263.17990940625003
28.0,random,100,3.6,298.45419788476556
28.0,sticky,200,1.8,268.5047103398437
28.0,fifo,200,1.8,256.49043562109375
28.0,roundrobin,200,1.8,257.04226934472655
28.0,random,200,1.8,298.8975790996094
280.0,sticky,1,360.0,23.14702342285156
280.0,fifo,1,360.0,23.14702342285156
280.0,roundrobin,1,360.0,23.14702342285156
280.0,random,1,360.0,23.14702342285156
280.0,sticky,10,36.0,222.95519328320313
280.0,fifo,10,36.0,222.95519328320313
280.0,roundrobin,10,36.0,222.95519328320313
280.0,random,10,36.0,222.95519328320313
280.0,sticky,15,24.0,303.4362302304687
280.0,fifo,15,24.0,303.4362302304687
280.0,roundrobin,15,24.0,303.4362302304687
280.0,random,15,24.0,303.4362302304687
280.0,sticky,17,21.176470588235293,306.50130054492183
280.0,fifo,17,21.176470588235293,306.50130054492183
280.0,roundrobin,17,21.176470588235293,306.50130054492183
280.0,random,17,21.176470588235293,306.50130054492183
