image_size_mb,strategy,policy,num_sats,data_downloaded_gb
2.799,frame-spaced,random,1,16.57528295800781
2.799,frame-spaced,sticky,25,18.16967637890625
2.799,frame-spaced,fifo,25,24.59697085644531
2.799,frame-spaced,roundrobin,25,24.59697085644531
2.799,frame-spaced,random,25,24.568574370117187
2.799,frame-spaced,sticky,50,19.846138653320313
2.799,frame-spaced,fifo,50,26.248399796875
2.799,frame-spaced,roundrobin,50,26.248399796875
2.799,frame-spaced,random,50,26.37492424707031
2.799,frame-spaced,sticky,100,23.38694239941406
2.799,frame-spaced,fifo,100,29.481309546875
2.799,frame-spaced,roundrobin,100,29.481309546875
2.799,frame-spaced,random,100,29.999487434570312
2.799,frame-spaced,sticky,200,30.495650110351566
2.799,frame-spaced,fifo,200,34.72467151074218
2.799,frame-spaced,roundrobin,200,34.71914034667969
2.799,frame-spaced,random,200,36.69346535742187
2.799,orbit-spaced,sticky,1,16.57528295800781
2.799,orbit-spaced,fifo,1,16.57528295800781
2.799,orbit-spaced,roundrobin,1,16.57528295800781
2.799,orbit-spaced,random,1,16.57528295800781
2.799,orbit-spaced,sticky,25,279.0548189814453
2.799,orbit-spaced,fifo,25,282.2460306738281
2.799,orbit-spaced,roundrobin,25,279.9706449814453
2.799,orbit-spaced,random,25,282.2402962724609
2.799,orbit-spaced,sticky,50,283.78121226660153
2.799,orbit-spaced,fifo,50,271.1895469267578
2.799,orbit-spaced,roundrobin,50,267.9042735107422
2.799,orbit-spaced,random,50,292.4153062705078
2.799,orbit-spaced,sticky,100,283.1169547402344
2.799,orbit-spaced,fifo,100,263.2464006191407
2.799,orbit-spaced,roundrobin,100,260.03255251953124
2.799,orbit-spaced,random,100,295.07954916992185
2.799,orbit-spaced,sticky,200,282.05546737109375
2.799,orbit-spaced,fifo,200,257.8111235126953
2.799,orbit-spaced,roundrobin,200,255.8604710546875
2.799,orbit-spaced,random,200,299.2564279970703
28.0,close-orbit-spaced,sticky,1,22.942237357421874
28.0,close-orbit-spaced,fifo,1,22.942237357421874
28.0,close-orbit-spaced,roundrobin,1,22.942237357421874
28.0,close-orbit-spaced,random,1,22.942237357421874
28.0,close-orbit-spaced,sticky,25,300.5537829257812
28.0,close-orbit-spaced,fifo,25,300.57056574609373
28.0,close-orbit-spaced,roundrobin,25,299.9758200185547
28.0,close-orbit-spaced,random,25,300.5526392324218
28.0,close-orbit-spaced,sticky,50,300.5540577207031
28.0,close-orbit-spaced,fifo,50,301.1129837314453
28.0,close-orbit-spaced,roundrobin,50,299.94533474023433
28.0,close-orbit-spaced,random,50,300.71338740527347
28.0,close-orbit-spaced,sticky,100,299.49434980078127
28.0,close-orbit-spaced,fifo,100,301.02478033984374
28.0,close-orbit-spaced,roundrobin,100,300.716620328125
28.0,close-orbit-spaced,random,100,300.7129741464844
28.0,close-orbit-spaced,sticky,200,299.4678488955078
28.0,close-orbit-spaced,fifo,200,301.00666059765626
28.0,close-orbit-spaced,roundrobin,200,300.4392064580078
28.0,close-orbit-spaced,random,200,300.6726915791015
28.0,close-spaced,sticky,1,22.942237357421874
28.0,close-spaced,fifo,1,22.942237357421874
28.0,close-spaced,roundrobin,1,22.942237357421874
28.0,close-spaced,random,1,22.942237357421874
28.0,close-spaced,sticky,25,22.983348525390625
28.0,close-spaced,fifo,25,22.983352835937502
28.0,close-spaced,roundrobin,25,22.983352835937502
28.0,close-spaced,random,25,22.983372847656252
28.0,close-spaced,sticky,50,22.983348429687503
28.0,close-spaced,fifo,50,22.983349513671875
28.0,close-spaced,roundrobin,50,22.983349513671875
28.0,close-spaced,random,50,22.98338189550781
28.0,close-spaced,sticky,100,22.98334658203125
28.0,close-spaced,fifo,100,22.983346973632813
28.0,close-spaced,roundrobin,100,22.983346973632813
28.0,close-spaced,random,100,22.9834040390625
28.0,close-spaced,sticky,200,22.983346083984376
28.0,close-spaced,fifo,200,22.98334630371094
28.0,close-spaced,roundrobin,200,22.98334630371094
28.0,close-spaced,random,200,22.983401956054685
28.0,frame-spaced,sticky,1,22.942237357421874
28.0,frame-spaced,fifo,1,22.942237357421874
28.0,frame-spaced,roundrobin,1,22.942237357421874
28.0,frame-spaced,random,1,22.942237357421874
28.0,frame-spaced,sticky,25,24.22079255566406
28.0,frame-spaced,fifo,25,24.747361287109374
28.0,frame-spaced,roundrobin,25,24.747361287109374
28.0,frame-spaced,random,25,24.80279646582031
28.0,frame-spaced,sticky,50,25.5695567265625
28.0,frame-spaced,fifo,50,26.437161921875
28.0,frame-spaced,roundrobin,50,26.437161921875
28.0,frame-spaced,random,50,26.742654806640626
28.0,frame-spaced,sticky,100,28.31387529296875
28.0,frame-spaced,fifo,100,29.749766362304683
28.0,frame-spaced,roundrobin,100,29.749766362304683
28.0,frame-spaced,random,100,30.012169593750002
28.0,frame-spaced,sticky,200,33.907633619140626
28.0,frame-spaced,fifo,200,35.08958465625
28.0,frame-spaced,roundrobin,200,34.49992060058594
28.0,frame-spaced,random,200,36.2259752734375
28.0,orbit-spaced,sticky,1,22.942237357421874
28.0,orbit-spaced,fifo,1,22.942237357421874
28.0,orbit-spaced,roundrobin,1,22.942237357421874
28.0,orbit-spaced,random,1,22.942237357421874
28.0,orbit-spaced,sticky,25,300.5537829257812
28.0,orbit-spaced,fifo,25,300.57056574609373
28.0,orbit-spaced,roundrobin,25,299.9758200185547
28.0,orbit-spaced,random,25,300.5526392324218
28.0,orbit-spaced,sticky,50,282.191070421875
28.0,orbit-spaced,fifo,50,274.7991940039062
28.0,orbit-spaced,roundrobin,50,275.2738180673828
28.0,orbit-spaced,random,50,298.612447397461
28.0,orbit-spaced,sticky,100,272.3348817099609
28.0,orbit-spaced,fifo,100,262.14594205273437
28.0,orbit-spaced,roundrobin,100,263.17990940625003
28.0,orbit-spaced,random,100,298.45419788476556
28.0,orbit-spaced,sticky,200,268.5047103398437
28.0,orbit-spaced,fifo,200,256.49043562109375
28.0,orbit-spaced,roundrobin,200,257.04226934472655
28.0,orbit-spaced,random,200,298.8975790996094
280.0,close-orbit-spaced,sticky,1,23.14702342285156
280.0,close-orbit-spaced,fifo,1,23.14702342285156
280.0,close-orbit-spaced,roundrobin,1,23.14702342285156
280.0,close-orbit-spaced,random,1,23.14702342285156
280.0,close-orbit-spaced,sticky,25,301.1688067861328
280.0,close-orbit-spaced,fifo,25,301.1688067861328
280.0,close-orbit-spaced,roundrobin,25,300.79562994433593
280.0,close-orbit-spaced,random,25,301.15088027246094
280.0,close-orbit-spaced,sticky,50,301.1339581230469
280.0,close-orbit-spaced,fifo,50,301.1339581230469
280.0,close-orbit-spaced,roundrobin,50,300.81420491699214
280.0,close-orbit-spaced,random,50,301.25552923437505
280.0,close-orbit-spaced,sticky,100,301.27424401660153
280.0,close-orbit-spaced,fifo,100,301.27424401660153
280.0,close-orbit-spaced,roundrobin,100,301.27424401660153
280.0,close-orbit-spaced,random,100,300.9717595996094
280.0,close-orbit-spaced,sticky,200,301.14536965917966
280.0,close-orbit-spaced,fifo,200,301.14536965917966
280.0,close-orbit-spaced,roundrobin,200,301.14536965917966
280.0,close-orbit-spaced,random,200,300.9877567509766
280.0,close-spaced,sticky,1,23.14702342285156
280.0,close-spaced,fifo,1,23.14702342285156
280.0,close-spaced,roundrobin,1,23.14702342285156
280.0,close-spaced,random,1,23.14702342285156
280.0,close-spaced,sticky,25,23.19357229980469
280.0,close-spaced,fifo,25,23.19357229980469
280.0,close-spaced,roundrobin,25,23.19357229980469
280.0,close-spaced,random,25,23.193564939453125
280.0,close-spaced,sticky,50,23.193571036132813
280.0,close-spaced,fifo,50,23.193571036132813
280.0,close-spaced,roundrobin,50,23.193571036132813
280.0,close-spaced,random,50,23.1935913203125
280.0,close-spaced,sticky,100,23.193569708007814
280.0,close-spaced,fifo,100,23.193569708007814
280.0,close-spaced,roundrobin,100,23.193569708007814
280.0,close-spaced,random,100,23.193581727539062
280.0,close-spaced,sticky,200,23.193569498046877
280.0,close-spaced,fifo,200,23.193569498046877
280.0,close-spaced,roundrobin,200,23.193569498046877
280.0,close-spaced,random,200,23.19356285253906
280.0,frame-spaced,sticky,1,23.14702342285156
280.0,frame-spaced,fifo,1,23.14702342285156
280.0,frame-spaced,roundrobin,1,23.14702342285156
280.0,frame-spaced,random,1,23.14702342285156
280.0,frame-spaced,sticky,25,24.75425698730469
280.0,frame-spaced,fifo,25,24.75425698730469
280.0,frame-spaced,roundrobin,25,24.75425698730469
280.0,frame-spaced,random,25,24.77972772265625
280.0,frame-spaced,sticky,50,26.431346641601564
280.0,frame-spaced,fifo,50,26.431346641601564
280.0,frame-spaced,roundrobin,50,26.431346641601564
280.0,frame-spaced,random,50,26.513365875976564
280.0,frame-spaced,sticky,100,29.785614613281247
280.0,frame-spaced,fifo,100,29.785614613281247
280.0,frame-spaced,roundrobin,100,29.785614613281247
280.0,frame-spaced,random,100,30.249375274414064
280.0,frame-spaced,sticky,200,35.157509780273436
280.0,frame-spaced,fifo,200,35.157509780273436
280.0,frame-spaced,roundrobin,200,35.26739463085937
280.0,frame-spaced,random,200,36.766848151367185
280.0,orbit-spaced,sticky,1,23.14702342285156
280.0,orbit-spaced,fifo,1,23.14702342285156
280.0,orbit-spaced,roundrobin,1,23.14702342285156
280.0,orbit-spaced,random,1,23.14702342285156
280.0,orbit-spaced,sticky,25,301.1688067861328
280.0,orbit-spaced,fifo,25,301.1688067861328
280.0,orbit-spaced,roundrobin,25,300.79562994433593
280.0,orbit-spaced,random,25,301.15088027246094
280.0,orbit-spaced,sticky,50,276.86226492871094
280.0,orbit-spaced,fifo,50,274.92981523144533
280.0,orbit-spaced,roundrobin,50,275.5732903994141
280.0,orbit-spaced,random,50,299.2363443769531
280.0,orbit-spaced,sticky,100,265.12377896875
280.0,orbit-spaced,fifo,100,262.2765632802734
280.0,orbit-spaced,roundrobin,100,263.5674271523438
280.0,orbit-spaced,random,100,298.77109161523435
280.0,orbit-spaced,sticky,200,259.811001897461
280.0,orbit-spaced,fifo,200,256.5389066835937
280.0,orbit-spaced,roundrobin,200,257.8795837412109
280.0,orbit-spaced,random,200,298.6881708447265
1024.0,close-orbit-spaced,sticky,1,23.14702342285156
1024.0,close-orbit-spaced,fifo,1,23.14702342285156
1024.0,close-orbit-spaced,roundrobin,1,23.14702342285156
1024.0,close-orbit-spaced,random,1,23.14702342285156
1024.0,close-orbit-spaced,sticky,25,301.1688067861328
1024.0,close-orbit-spaced,fifo,25,301.1688067861328
1024.0,close-orbit-spaced,roundrobin,25,300.79562994433593
1024.0,close-orbit-spaced,random,25,301.15088027246094
1024.0,close-orbit-spaced,sticky,50,301.1339581230469
1024.0,close-orbit-spaced,fifo,50,301.1339581230469
1024.0,close-orbit-spaced,roundrobin,50,300.81420491699214
1024.0,close-orbit-spaced,random,50,301.25552923437505
1024.0,close-orbit-spaced,sticky,100,301.27424401660153
1024.0,close-orbit-spaced,fifo,100,301.27424401660153
1024.0,close-orbit-spaced,roundrobin,100,301.27424401660153
1024.0,close-orbit-spaced,random,100,300.9717595996094
1024.0,close-orbit-spaced,sticky,200,301.14536965917966
1024.0,close-orbit-spaced,fifo,200,301.14536965917966
1024.0,close-orbit-spaced,roundrobin,200,301.14536965917966
1024.0,close-orbit-spaced,random,200,300.9877567509766
1024.0,close-spaced,sticky,1,23.14702342285156
1024.0,close-spaced,fifo,1,23.14702342285156
1024.0,close-spaced,roundrobin,1,23.14702342285156
1024.0,close-spaced,random,1,23.14702342285156
1024.0,close-spaced,sticky,25,23.19357229980469
1024.0,close-spaced,fifo,25,23.19357229980469
1024.0,close-spaced,roundrobin,25,23.19357229980469
1024.0,close-spaced,random,25,23.193564939453125
1024.0,close-spaced,sticky,50,23.193571036132813
1024.0,close-spaced,fifo,50,23.193571036132813
1024.0,close-spaced,roundrobin,50,23.193571036132813
1024.0,close-spaced,random,50,23.1935913203125
1024.0,close-spaced,sticky,100,23.193569708007814
1024.0,close-spaced,fifo,100,23.193569708007814
1024.0,close-spaced,roundrobin,100,23.193569708007814
1024.0,close-spaced,random,100,23.193581727539062
1024.0,close-spaced,sticky,200,23.193569498046877
1024.0,close-spaced,fifo,200,23.193569498046877
1024.0,close-spaced,roundrobin,200,23.193569498046877
1024.0,close-spaced,random,200,23.19356285253906
1024.0,frame-spaced,sticky,1,23.14702342285156
1024.0,frame-spaced,fifo,1,23.14702342285156
1024.0,frame-spaced,roundrobin,1,23.14702342285156
1024.0,frame-spaced,random,1,23.14702342285156
1024.0,frame-spaced,sticky,25,24.75425698730469
1024.0,frame-spaced,fifo,25,24.75425698730469
1024.0,frame-spaced,roundrobin,25,24.75425698730469
1024.0,frame-spaced,random,25,24.77972772265625
1024.0,frame-spaced,sticky,50,26.431346641601564
1024.0,frame-spaced,fifo,50,26.431346641601564
1024.0,frame-spaced,roundrobin,50,26.431346641601564
1024.0,frame-spaced,random,50,26.513365875976564
1024.0,frame-spaced,sticky,100,29.785614613281247
1024.0,frame-spaced,fifo,100,29.785614613281247
1024.0,frame-spaced,roundrobin,100,29.785614613281247
1024.0,frame-spaced,random,100,30.249375274414064
1024.0,frame-spaced,sticky,200,35.157509780273436
1024.0,frame-spaced,fifo,200,35.157509780273436
1024.0,frame-spaced,roundrobin,200,35.26739463085937
1024.0,frame-spaced,random,200,36.766848151367185
1024.0,orbit-spaced,sticky,1,23.14702342285156
1024.0,orbit-spaced,fifo,1,23.14702342285156
1024.0,orbit-spaced,roundrobin,1,23.14702342285156
1024.0,orbit-spaced,random,1,23.14702342285156
